#,title,videoUrl,videoId,publishedAt,position
1,Italy v France | 2006 FIFA World Cup Final | Full Match,https://www.youtube.com/watch?v=nELaL14ms7A&list=PLCGIzmTE4d0iSMe4asTB_WzV0jk2VbmsS&index=1,nELaL14ms7A,2018-05-04T17:24:50Z,0
2,Zinedine Zidane’s headbutt on Marco Materazzi | Germany 2006 | FIFA World Cup,https://www.youtube.com/watch?v=jb16JvUCVQs&list=PLCGIzmTE4d0iSMe4asTB_WzV0jk2VbmsS&index=2,jb16JvUCVQs,2020-10-31T14:00:22Z,1
3,Germany v Italy | 2006 FIFA World Cup | Full Match,https://www.youtube.com/watch?v=Qcx4iDWu3tU&list=PLCGIzmTE4d0iSMe4asTB_WzV0jk2VbmsS&index=3,Qcx4iDWu3tU,2020-04-24T18:00:11Z,2
4,2006 WORLD CUP FINAL: Italy 1-1 France,https://www.youtube.com/watch?v=Nlsm0RlC8zI&list=PLCGIzmTE4d0iSMe4asTB_WzV0jk2VbmsS&index=4,Nlsm0RlC8zI,2014-07-09T19:43:59Z,3
5,Battle of Nuremberg | Germany 2006 | FIFA World Cup,https://www.youtube.com/watch?v=cFDoPRSnefE&list=PLCGIzmTE4d0iSMe4asTB_WzV0jk2VbmsS&index=5,cFDoPRSnefE,2020-11-06T14:00:13Z,4
6,Italy 1-1 France (5-3 PSO) | Extended Highlights | 2006 FIFA World Cup,https://www.youtube.com/watch?v=cfRkHzhM4vE&list=PLCGIzmTE4d0iSMe4asTB_WzV0jk2VbmsS&index=6,cfRkHzhM4vE,2020-06-28T20:36:26Z,5
7,Germany 0-2 Italy (AET) | 2006 World Cup | Match Highlights,https://www.youtube.com/watch?v=3DWl_VDHxGU&list=PLCGIzmTE4d0iSMe4asTB_WzV0jk2VbmsS&index=7,3DWl_VDHxGU,2016-07-01T13:54:06Z,6
8,Portugal 2-1 Mexico | 2006 World Cup | Match Highlights,https://www.youtube.com/watch?v=N6RGD_IvO9U&list=PLCGIzmTE4d0iSMe4asTB_WzV0jk2VbmsS&index=8,N6RGD_IvO9U,2017-06-18T08:00:02Z,7
9,Germany 1-1 Argentina (4-2 PSO) | 2006 World Cup | Match Highlights,https://www.youtube.com/watch?v=3zddvQRozlc&list=PLCGIzmTE4d0iSMe4asTB_WzV0jk2VbmsS&index=9,3zddvQRozlc,2014-07-11T02:55:35Z,8
10,"🇮🇹 All of Italy’s 2006 World Cup Goals | Totti, Del Piero & more!",https://www.youtube.com/watch?v=Ej_IoW7CRWU&list=PLCGIzmTE4d0iSMe4asTB_WzV0jk2VbmsS&index=10,Ej_IoW7CRWU,2020-11-01T14:00:05Z,9
11,Argentina 2-1 Mexico | Extended Highlights | 2006 FIFA World Cup,https://www.youtube.com/watch?v=xh-yANwjcR0&list=PLCGIzmTE4d0iSMe4asTB_WzV0jk2VbmsS&index=11,xh-yANwjcR0,2020-06-07T17:00:24Z,10
12,Portugal 0-1 France | 2006 World Cup | Match Highlights,https://www.youtube.com/watch?v=QZq0AArXCA4&list=PLCGIzmTE4d0iSMe4asTB_WzV0jk2VbmsS&index=12,QZq0AArXCA4,2016-07-08T14:56:57Z,11
13,France v Switzerland | 2006 World Cup | Match Highlights,https://www.youtube.com/watch?v=weQABLZTPR0&list=PLCGIzmTE4d0iSMe4asTB_WzV0jk2VbmsS&index=13,weQABLZTPR0,2014-06-19T23:43:01Z,12
