#,title,videoUrl,videoId,publishedAt,position
1,2014 WORLD CUP FINAL: Germany 1-0 Argentina (AET),https://www.youtube.com/watch?v=ffAYByv2pLc&list=PLCGIzmTE4d0i4BvAgy-hShwPB3R6az-wL&index=1,ffAYByv2pLc,2018-04-28T10:00:12Z,0
2,Brazil v Germany | 2014 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=a7IMPsyQg6k&list=PLCGIzmTE4d0i4BvAgy-hShwPB3R6az-wL&index=2,a7IMPsyQg6k,2018-04-26T16:00:00Z,1
3,Spain v Netherlands | 2014 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=lHhq8CGR1is&list=PLCGIzmTE4d0i4BvAgy-hShwPB3R6az-wL&index=3,lHhq8CGR1is,2018-04-13T12:07:54Z,2
4,Brazil v Colombia | 2014 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=pAUGJpu6FKo&list=PLCGIzmTE4d0i4BvAgy-hShwPB3R6az-wL&index=4,pAUGJpu6FKo,2018-04-25T16:00:04Z,3
5,Brazil v Netherlands | 2014 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=U-OjcdcYsE4&list=PLCGIzmTE4d0i4BvAgy-hShwPB3R6az-wL&index=5,U-OjcdcYsE4,2018-04-28T10:00:08Z,4
6,Brazil v Croatia | 2014 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=AbIAciWGgmQ&list=PLCGIzmTE4d0i4BvAgy-hShwPB3R6az-wL&index=6,AbIAciWGgmQ,2018-04-05T17:13:35Z,5
7,Germany v Ghana | 2014 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=blODTcOFiB8&list=PLCGIzmTE4d0i4BvAgy-hShwPB3R6az-wL&index=7,blODTcOFiB8,2018-04-19T14:15:05Z,6
8,Nigeria v Argentina | 2014 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=9-8_rM9WcS8&list=PLCGIzmTE4d0i4BvAgy-hShwPB3R6az-wL&index=8,9-8_rM9WcS8,2018-04-19T13:27:53Z,7
9,Germany v Portugal | 2014 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=NoNSoV2onDg&list=PLCGIzmTE4d0i4BvAgy-hShwPB3R6az-wL&index=9,NoNSoV2onDg,2018-04-18T15:57:55Z,8
10,Cameroon v Brazil | 2014 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=bly2MB1A0cI&list=PLCGIzmTE4d0i4BvAgy-hShwPB3R6az-wL&index=10,bly2MB1A0cI,2018-04-19T14:07:01Z,9
11,Portugal v Ghana | 2014 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=p-n7pejVsIo&list=PLCGIzmTE4d0i4BvAgy-hShwPB3R6az-wL&index=11,p-n7pejVsIo,2018-04-19T14:36:08Z,10
12,Uruguay v England | 2014 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=H3k7PCCuut8&list=PLCGIzmTE4d0i4BvAgy-hShwPB3R6az-wL&index=12,H3k7PCCuut8,2018-04-19T14:32:10Z,11
13,Colombia v Uruguay | 2014 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=mV7HZSq0gXE&list=PLCGIzmTE4d0i4BvAgy-hShwPB3R6az-wL&index=13,mV7HZSq0gXE,2018-04-23T15:13:44Z,12
14,Argentina v Bosnia & Herzegovina | 2014 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=hYXjfHE-_Ow&list=PLCGIzmTE4d0i4BvAgy-hShwPB3R6az-wL&index=14,hYXjfHE-_Ow,2018-04-18T15:53:40Z,13
15,Côte d'Ivoire v Japan | 2014 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=KpG_korY2ds&list=PLCGIzmTE4d0i4BvAgy-hShwPB3R6az-wL&index=15,KpG_korY2ds,2018-04-13T12:14:56Z,14
16,France v Germany | 2014 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=uWK4_1tUrag&list=PLCGIzmTE4d0i4BvAgy-hShwPB3R6az-wL&index=16,uWK4_1tUrag,2018-04-25T16:00:05Z,15
17,England v Italy | 2014 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=lMj958qJHL4&list=PLCGIzmTE4d0i4BvAgy-hShwPB3R6az-wL&index=17,lMj958qJHL4,2018-04-13T12:23:48Z,16
18,USA v Portugal | 2014 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=zAnCLeoHI1s&list=PLCGIzmTE4d0i4BvAgy-hShwPB3R6az-wL&index=18,zAnCLeoHI1s,2018-04-19T14:12:54Z,17
19,Argentina v Iran | 2014 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=WyJq6ZC4upk&list=PLCGIzmTE4d0i4BvAgy-hShwPB3R6az-wL&index=19,WyJq6ZC4upk,2018-04-19T14:21:39Z,18
20,Australia v Netherlands | 2014 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=cqgZTX09fKs&list=PLCGIzmTE4d0i4BvAgy-hShwPB3R6az-wL&index=20,cqgZTX09fKs,2018-04-18T16:12:01Z,19
21,Uruguay v Costa Rica | 2014 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=9vDzaBe9wUE&list=PLCGIzmTE4d0i4BvAgy-hShwPB3R6az-wL&index=21,9vDzaBe9wUE,2018-04-13T12:17:11Z,20
22,Argentina v Belgium | 2014 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=SSmS4DXt-vk&list=PLCGIzmTE4d0i4BvAgy-hShwPB3R6az-wL&index=22,SSmS4DXt-vk,2018-04-25T16:00:03Z,21
23,Argentina v Switzerland | 2014 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=wGiDDjn4yKc&list=PLCGIzmTE4d0i4BvAgy-hShwPB3R6az-wL&index=23,wGiDDjn4yKc,2018-04-23T15:23:08Z,22
24,Germany v Algeria | 2014 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=lGrU8hlIYIE&list=PLCGIzmTE4d0i4BvAgy-hShwPB3R6az-wL&index=24,lGrU8hlIYIE,2018-04-23T15:21:46Z,23
