"מחילה","none","🎬 מחילה\n📅 שנת יציאה: 2019\n🎭 ז'אנר: דרמה\n⏱ אורך הסרט: 96 דקות\n\nתקציר:\nהסרט עוקב אחרי נושא רגשי עמוק – על בני אדם שמתמודדים עם התמודדות קשה עם עברם. סיפור מצמרר על אדם שמנסה להתמודד עם טעויותיו, עובר מסע של תיקון עצמי ומפגש עם אנשים מהעבר. הסרט מציף שאלות על גאולה, סבל ויכולת לסלוח. 🕊️💔\n\nקישור לדרייב: https://drive.google.com/file/d/1wyLQ31aI0ZviHP9Mnyv1gfBn1dbugL8W/view?usp=drivesdk","single","","","g","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,,,"7","0"
"בא ונעלם","none","🎬 בא ונעלם\n📅 שנת יציאה: 2007\n🎭 ז'אנר: דרמה, מתח, פשע\n⏱ אורך הסרט: 113 דקות\n\nתקציר:\nהסרט עוקב אחרי חוקרי פרטיים, זוג צעיר, שמגויסים לחפש ילדה שנעלמה בשכונת בוסטון. במהלך החקירה, הם מגלים שיותר ממה שהם ציפו עומד על כף המאזניים. כעת הם נאלצים להתמודד עם סודות, שאלות מוסריות ואלימות קשה בשכונה שהם מכירים היטב. 🔍🕵️‍♂️\n\nקישור לדרייב: https://drive.google.com/file/d/1iisZMpoQ_hqrIoLeFpzkDhgM5hbFhYtQ/view?usp=drivesdk","single","","","g","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,,,"8","0"
"הנה בא הבוקס","none","🎬 הנה בא הבוקס\n📅 שנת יציאה: 2012\n🎭 ז'אנר: קומדיה, אקשן\n⏱ אורך הסרט: 105 דקות\n\nתקציר:\nכאשר מורה למדעי החיים במערכת חינוך שבורה מבין שהכיתה שלו עומדת להיסגר, הוא מחליט לקחת את העניינים לידיים ולהפוך למתאבק MMA כדי לאסוף כסף עבור בית הספר. הדרך לא קלה, אך המורה מוצא את עצמו משנה את חייו ואת חיי תלמידיו בדרך מצחיקה ומרגשת. 💪😂\n\nקישור לדרייב: https://drive.google.com/file/d/1viQgG2z2IWf_JXEApTLoPDLcoV7uK2Mw/view?usp=drivesdk","single","","","g","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,,,"9","0"
"בייבי בוס 2","none","🎬 בייבי בוס 2 - מדובב\n📅 שנת יציאה: 2021\n🎭 ז'אנר: אנימציה, קומדיה, משפחה\n⏱ אורך הסרט: 107 דקות\n\nתקציר:\nבייבי בוס חוזר, והפעם הוא והאח הגדול שלו מתחילים משימה שתשנה את חיי משפחת טמפלטון. כשהם מגלים את הקשר בין ילדים לסטארט-אפים, הם יוצאים למסע שכולל המון קומי והפתעות. 👶💼\n\nקישור לדרייב: https://drive.google.com/file/d/1tsl78KkcMqUBY_V8jlxj8fzwM_PgeZFM/view?usp=drivesdk","single","","","g","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,,,"10","0"
"גודזילה נגד קונג","none","🎬 גודזילה נגד קונג\n📅 שנת יציאה: 2021\n🎭 ז'אנר: אקשן, הרפתקאות, פנטזיה\n⏱ אורך הסרט: 113 דקות\n\nתקציר:\nהקרב האדיר בין שני מפלצות האייקון: גודזילה וקונג. כאשר שני הענקים נפגשים, הם הופכים לאויבים הכי גדולים, בעוד העולם מתמודד עם ההרס שהם משאירים מאחוריהם. הקרב המלחמתי הזה לא רק עוסק במפלצות, אלא גם בהשפעות על בני האדם. 🦖🦍\n\nקישור לדרייב: https://drive.google.com/file/d/1-YL2ABqkBuxkIFVBojwcWLeqkVu-hfBB/view?usp=drivesdk","single","","","g","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,,,"11","0"
"טד 1","none","🎬 טד 1\n📅 שנת יציאה: 2012\n🎭 ז'אנר: קומדיה\n⏱ אורך הסרט: 106 דקות\n\nתקציר:\nסיפור על צעיר בשם ג'ון, שהדובי שלו, טד, קם לחיים ומפנה את הדרך לחיים מבולגנים ומצחיקים. טד הופך לחברו הטוב ביותר, אך עליהם להתמודד עם אתגרים חדשים כאשר ג'ון מנסה לשמור על חברתו. 🧸🍻\n\nקישור לדרייב: https://drive.google.com/file/d/1IiqZd6zJiBMLYw1qlmjTcVWa5exV4bni/view?usp=drivesdk","single","","","g","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,,,"12","0"
"טד 2","none","🎬 טד 2\n📅 שנת יציאה: 2015\n🎭 ז'אנר: קומדיה\n⏱ אורך הסרט: 115 דקות\n\nתקציר:\nטד וג'ון יוצאים למסע משפטי כאשר טד נדרש להוכיח שהוא אדם מבחינה חוקית כדי להתחתן. הסרט מלא בהומור פרוע, סיטואציות מצחיקות ודיאלוגים מפתיעים. 🍿😂\n\nקישור לדרייב: https://drive.google.com/file/d/1ySBeYiLmnILuZmVCh4sB8bQM7EUkIK3z/view?usp=drivesdk","single","","","g","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,,,"13","0"
"לשחרר את שולי 1","none","🎬 לשחרר את שולי\n📅 שנת יציאה: 2021\n🎭 ז'אנר: קומדיה\n⏱ אורך הסרט: 97 דקות\n\nתקציר:\nשולי הוא דמות מטורפת ומצחיקה, שנכנס לסיטואציות מביכות ומסעירות כשמנסים לשחרר אותו מההכלא שבו הוא נמצא. חוויות מצחיקות, מצבים מוזרים והרבה צחוק ממתינים לכל מי שיבחר לצפות. 😂🚔\n\n> Driveflix \n🔗 קישור לדרייב: \nhttps://drive.google.com/file/d/1N2KdFdcqXBRIBnkVLx5vGSdtZN_strcA/view?usp=drivesdk","single","","","g","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,,,"14","0"
"ספיידרמן המופלא","none","🎬 ספיידרמן המופלא 1\n📅 שנת יציאה: 2012\n🎭 ז'אנר: אקשן, הרפתקאות, מדע בדיוני\n⏱ אורך הסרט: 136 דקות\n\nתקציר:\nסיפור ההתבגרות של פיטר פארקר, שמגלה את כוחותיו החדשים כעכביש-על. הסרט עוקב אחרי התהליך שבו הוא הופך לגיבור, ומתחיל להילחם נגד פושעים, תוך שהוא מתמודד עם האובדן של אהוביו והאחריות שמגיעה עם כוחותיו. 🕷️🕸️\n\nקישור לדרייב: https://drive.google.com/file/d/1lw5pr-Ul_4LRgvncJPzznn9wgI1Fecxt/view?usp=drivesdk","single","","","g","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,,,"15","0"
"ספיידרמן 2","none","🎬 ספיידרמן 2\n📅 שנת יציאה: 2004\n🎭 ז'אנר: אקשן, הרפתקאות, מדע בדיוני\n⏱ אורך הסרט: 127 דקות\n\nתקציר:\nבמהלך הסרט השני בסדרת ספיידרמן, פיטר פארקר נאבק בין חייו כגיבור לבין חייו האישיים. כאשר אויב חדש בשם דוקטור אוקטופוס מופיע, פיטר חייב להילחם בו, כל זאת תוך שמירה על קשריו האישיים והמוסרים. 🕷️💥\n\nקישור לדרייב: https://drive.google.com/file/d/1ROMZpYTfspTPbIg1QvS7OvK36Pu0lr-k","single","","","g","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,,,"16","0"
